id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist,,,,,,,,,,,,
198bofpPaeh8EUqFBldNJQ,0.429,0.723,5,-5.949,1,0.0936,0.451,0,0.381,0.431,141.529,John Legend,,,,,,,,,,,,
2MslTB54EOMr1GgJbTzj0K,0.465,0.486,0,-8.368,1,0.0338,0.177,1.17e-05,0.115,0.4270000000000001,112.283,John Legend,,,,,,,,,,,,
50p1UrHZsX6KkVydAvSxHC,0.526,0.377,11,-7.13,1,0.0595,0.951,0,0.102,0.574,119.049,John Legend,,,,,,,,,,,,
4awnryHolfr6rVuUnHM30j,0.5479999999999999,0.6709999999999999,7,-7.189,0,0.067,0.444,0.000339,0.141,0.421,125.912,John Legend,,,,,,,,,,,,
2cUW96AVns2GoEO3DWGo8v,0.424,0.4579999999999999,0,-9.22,0,0.0314,0.7809999999999999,2.9e-06,0.287,0.286,91.606,John Legend,,,,,,,,,,,,
5EOP13KkGVGTzUGB0o5zal,0.593,0.7090000000000001,4,-5.536,1,0.0269,0.188,0,0.0672,0.431,96.952,John Legend,,,,,,,,,,,,
1vBHsNnwNClkbxDYh5shOs,0.631,0.755,2,-5.612,0,0.0394,0.467,1.39e-05,0.0927,0.777,142.015,John Legend,,,,,,,,,,,,
47ZGdDkt6Vq3L1k3HnMnkC,0.518,0.245,7,-10.373,1,0.0378,0.953,4.52e-06,0.106,0.316,63.63800000000001,John Legend,,,,,,,,,,,,
5U7SH58jbqSFW1uUqFWBCU,0.481,0.97,9,-3.906,1,0.242,0.00177,8.420000000000001e-05,0.769,0.649,184.779,John Legend,,,,,,,,,,,,
1DUhAeBCT4r66Gu4P3nirG,0.49,0.93,1,-3.51,0,0.0658,0.000933,3.02e-05,0.823,0.527,152.248,P!nk,,,,,,,,,,,,
4k80K0b6KZ2QjAYkXON7q6,0.597,0.919,7,-2.954,1,0.044,0.000145,0,0.282,0.73,113.987,P!nk,,,,,,,,,,,,
1jF7IL57ayN4Ity3jQqGu0,0.6729999999999999,0.629,2,-7.072,1,0.0299,0.00141,0,0.0944,0.551,103.998,P!nk,,,,,,,,,,,,
1mKXFLRA179hdOWQBwUk9e,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,P!nk,,,,,,,,,,,,
1QNqrsNQ1JVLEwncov3lEY,0.457,0.823,9,-4.76,1,0.311,0.00144,0,0.108,0.578,192.205,P!nk,,,,,,,,,,,,
1EzyTh2gxdnU9sq3ivtw4w,0.425,0.953,9,-2.432,1,0.1369999999999999,0.000944,0,0.1639999999999999,0.505,134.887,P!nk,,,,,,,,,,,,
5d4Q9bLZWtsL90vvSh8UWr,0.625,0.8420000000000001,11,-3.606,0,0.0617,0.00218,0,0.0634,0.537,130.035,P!nk,,,,,,,,,,,,
2bq6lTZcVtQ6m8bpaVCwA9,0.735,0.7909999999999999,1,-4.481,0,0.0754,0.00228,0.000109,0.133,0.903,131.982,P!nk,,,,,,,,,,,,
3030YT1OMJa4bxthLLHuVM,0.487,0.3379999999999999,0,-7.019,1,0.0309,0.522,0,0.151,0.254,117.998,P!nk,,,,,,,,,,,,
6l2Q66TlfZqzbRkFrZOMT1,0.667,0.902,7,-4.588,1,0.0988,0.00112,0,0.0624,0.7190000000000001,135.933,P!nk,,,,,,,,,,,,
10Hb1MlXsnI7Yi936C97NA,0.7090000000000001,0.794,7,-2.867,1,0.0526,0.00137,0.000104,0.14,0.6809999999999999,110.012,Eminem,,,,,,,,,,,,
5BIL4QX0mLVQGVR0YqkasO,0.4589999999999999,0.755,1,-4.746,1,0.0491,0.00919,0,0.1,0.589,99.292,P!nk,,,,,,,,,,,,
1Vqcqt1QwfjWqWXIlDGaMZ,0.3829999999999999,0.359,10,-6.893,1,0.0278,0.764,0,0.106,0.298,78.732,P!nk,,,,,,,,,,,,
37iUoOyvCGbu3tfjxY1usf,0.6729999999999999,0.902,5,-4.468,0,0.0532,0.0819,3.34e-06,0.0693,0.778,126.989,P!nk,,,,,,,,,,,,
3LdF68v3DpGluhLtP97s1a,0.565,0.833,9,-5.256,1,0.0689,0.00151,4.58e-06,0.183,0.238,127.04,P!nk,,,,,,,,,,,,
4MXX6eANzr0VvZBmgO8OrI,0.477,0.677,2,-6.439,1,0.0383,0.0332,0,0.346,0.364,157.95,P!nk,,,,,,,,,,,,
6Ip9pqPGZxFAOSHnepy1AI,0.49,0.76,0,-5.981,1,0.0602,0.122,0,0.123,0.723,79.958,P!nk,,,,,,,,,,,,
3IbVEi59YVxtbIjF4GrQ6B,0.7240000000000001,0.8340000000000001,6,-4.083,1,0.292,0.00483,1.16e-05,0.105,0.685,86.89299999999999,Eminem,,,,,,,,,,,,
24S7rWWB6ohk2j5ABrm5DJ,0.841,0.7390000000000001,11,-5.111,0,0.206,0.151,5.9e-05,0.0897,0.5710000000000001,85.891,Eminem,,,,,,,,,,,,
5gMA9DaGp2VVu3tfM8YqLP,0.7959999999999999,0.5,1,-6.028,1,0.0443,0.00154,0,0.082,0.391,115.028,Chris Brown,,,,,,,,,,,,
6JjBYAT9eiS1LEtav863Ru,0.763,0.728,7,-4.944,1,0.326,0.00677,1.22e-05,0.0915,0.362,105.923,Beyonce,,,,,,,,,,,,
4kf8eko93JWjalETh1O2Xu,0.708,0.978,7,-2.992,0,0.0541,0.0264,0.000489,0.2739999999999999,0.8859999999999999,126.03,Beyonce,,,,,,,,,,,,
0Psy9zqMacRykO5pfTjJnE,0.821,0.504,1,-4.588,1,0.0296,0.0213,1.5e-06,0.0694,0.619,123.992,Usher,,,,,,,,,,,,
5E8sSt4mj4boeyGZyjH3Qq,0.509,0.423,4,-8.05,0,0.3229999999999999,0.304,0,0.0562,0.532,71.78399999999998,Alicia Keys,,,,,,,,,,,,
4nhXAeMbjwalAGq51qtE1E,0.206,0.327,1,-9.401,1,0.0439,0.946,6.22e-06,0.94,0.204,73.584,Kelly Clarkson,,,,,,,,,,,,
2jaMBOw1aSdMcJUAaNiNpc,0.627,0.906,8,-3.442,0,0.0622,0.126,0.00693,0.348,0.63,90.97,Miley Cyrus,,,,,,,,,,,,
0LYlsuc3mdKKFUp97qZoEF,0.512,0.913,1,-4.142,1,0.0713,0.00248,0,0.0388,0.6459999999999999,167.998,P!nk,,,,,,,,,,,,
1o8MRS1zWzZPuspL59hI33,0.6709999999999999,0.272,9,-10.416,1,0.938,0.978,0,0.149,0.503,90.389,Drake,,,,,,,,,,,,
7Ll3VXNTomulI653x2VDGk,0.825,0.512,10,-10.083,0,0.3289999999999999,0.114,0,0.176,0.311,100.114,Drake,,,,,,,,,,,,
1hIS4cbc3yOt1bq6Tduagb,0.667,0.867,5,-5.85,1,0.601,0.546,0,0.103,0.6729999999999999,94.129,Drake,,,,,,,,,,,,
457sgSRzlW4IBmD4U1lnUI,0.682,0.625,11,-9.769,0,0.853,0.4370000000000001,0,0.0686,0.551,97.716,Drake,,,,,,,,,,,,
