id,artist,latent_0,latent_1,latent_2,latent_3,latent_4
71BgDMZ6FbL5AKcERaxJ6n,Ed Sheeran,-0.24021553,0.99696445,1.7190999,-0.23894306,-1.1078811
1oH5Mg9dyAj15lWUmXvmFW,Ed Sheeran,-1.1185738,1.3483727,0.3407287,-1.0054737,1.5546813
3ERZA2UXA1cD5WAELjSpa6,Ed Sheeran,0.38096723,-0.1306976,0.3040288,-2.1532447,0.46361512
5MLjVCMjJKwXLk6JmPeOPe,Ed Sheeran,-2.1296048,-0.52243316,-0.5653587,1.5358039,1.1422895
1Tu5fpEjGl78R4mA6pQ7Tk,Ed Sheeran,-0.42214373,-1.2101027,1.5931892,-1.2375702,1.1055423
0Tdh0VTkzmPGeAQIXHYhVJ,Ed Sheeran,-0.60296154,0.14578418,-0.5883176,0.6055138,-0.6583571
663iGCIjbc3DfpGOooKvDR,Ed Sheeran,0.017169736,-1.20365,0.3351441,1.6508639,0.42988586
4qhw4uLzaW0TjgGvTxJ2Pu,Ed Sheeran,-1.2691444,-0.84884584,-0.33077872,-0.15712994,1.1494654
2neYa7NyqIuPR67tehREKZ,Ed Sheeran,-0.17851222,-1.8190174,2.69967,-0.9711037,-1.1564523
3uPt20NZVz4AOhFPUzzEv6,Ed Sheeran,1.4827591,-0.90798897,0.5059916,-0.4383861,0.74516153
5hNGxdPZJ4tLLkbIHHVYJp,Ed Sheeran,-0.5609666,0.21605343,-0.06647548,1.7458166,-0.018380959
6n1j8k7ApN8ZkjG2Yczyei,Ed Sheeran,-1.1920767,-0.3204009,-1.1740487,0.15252943,-0.1416695
3ScM8IvndjLcJ9VyAc4EnS,Ed Sheeran,-0.22200114,-0.25433594,2.323058,-0.38879508,-0.29715303
3U0oiHpXqrIS3AsOvkaS08,Bruno Mars,-0.14463733,-0.53879225,-1.3780037,-0.08626953,-0.5752657
2N1D0rf5uu3kYLxgEXWB8E,Beyonce,-0.8905266,-2.3144755,-0.15219645,0.06893053,0.5021657
0XVoi0Laai9IeAYu4rdLGs,Beyonce,0.9935381,0.09464362,1.3927977,-0.8603961,0.09059197
